iter	RMSE
0	0.7393254516
1	0.7226025698
2	0.7058317983
3	0.690032476
4	0.6748663035
5	0.6609015353
6	0.6468200712
7	0.6337283716
8	0.6215061429
9	0.6100098815
10	0.5982806183
11	0.5876470998
12	0.5774696792
13	0.56743515
14	0.558226102
15	0.5496902523
16	0.5405650347
17	0.532419964
18	0.5246841982
19	0.5170218989
20	0.5100442317
21	0.5027711801
22	0.4957553271
23	0.4896949464
24	0.4835867967
25	0.4777988273
26	0.4728630013
27	0.4672292627
28	0.4618128496
29	0.4571115752
30	0.4522893276
31	0.4477882908
32	0.4431857873
33	0.4392770848
34	0.435142924
35	0.4316385516
36	0.4279518491
37	0.4251194725
38	0.4216924736
39	0.4187797791
40	0.4160331291
41	0.4131114688
42	0.4101984753
43	0.4072409221
44	0.4047511548
45	0.402317807
46	0.3997428347
47	0.3972899242
48	0.3951600027
49	0.3928733259
50	0.390930729
51	0.3892425573
52	0.3869226391
53	0.3853268863
54	0.3835744608
55	0.3820121364
56	0.3801403853
57	0.3782834556
58	0.3767932169
59	0.3753038827
60	0.3740369084
61	0.3722782795
62	0.3706014169
63	0.3695688433
64	0.3681402611
65	0.366857695
66	0.365581992
67	0.3640940641
68	0.3628182959
69	0.3616071966
70	0.3606046703
71	0.3595730565
72	0.358427085
73	0.3574006347
74	0.356200876
75	0.3551847021
76	0.354235239
77	0.3533986845
78	0.3524552195
79	0.3515868051
80	0.3505785051
81	0.3497211933
82	0.3486300465
83	0.3475382692
84	0.3467296505
85	0.3460575955
86	0.3453121578
87	0.344812212
88	0.3439572674
89	0.3432006472
90	0.3420247451
91	0.3413738294
92	0.3408569311
93	0.3401413535
94	0.3394262683
95	0.3382529427
96	0.3377314146
97	0.3370750969
98	0.3361786322
99	0.3356202462
100	0.3348132631
101	0.3340175444
102	0.3335538992
103	0.3329565436
104	0.3326182703
105	0.3321123872
106	0.3315664049
107	0.3311057127
108	0.3306467391
109	0.3301974668
110	0.3296587534
111	0.3290185952
112	0.3285678235
113	0.3280465368
114	0.3276080875
115	0.3270031903
116	0.3265437275
117	0.3259072091
118	0.3251464829
119	0.3245643659
120	0.3239357823
121	0.3236192644
122	0.3229003486
123	0.3225992598
124	0.3222108776
125	0.3215679546
126	0.3211380408
127	0.320796035
128	0.3204787142
129	0.3200709865
130	0.3197889706
131	0.3192602629
132	0.3189177295
133	0.318458756
134	0.3181699909
135	0.3175054575
136	0.3171592667
137	0.316676762
138	0.3159110539
139	0.3156217526
140	0.3153855465
141	0.3150553234
142	0.3145732034
143	0.3142271545
144	0.3137191742
145	0.3131957132
146	0.3127371255
147	0.3123231865
148	0.3120076675
149	0.3116816877
150	0.3113879687
151	0.3110960579
152	0.3109418097
153	0.3104743876
154	0.310244001
155	0.3099168142
156	0.309610083
157	0.3093788035
158	0.3090359268
159	0.3086211138
160	0.30830397
161	0.3076847435
162	0.3073983646
163	0.3071916837
164	0.3067448915
165	0.3065154382
166	0.3062985141
167	0.3060265269
168	0.3056474945
169	0.3048073824
170	0.3042974125
171	0.3039034137
172	0.3035835791
173	0.3032911568
174	0.3031314006
175	0.3028235331
176	0.3025679156
177	0.3023501098
178	0.3020394971
179	0.3015026225
180	0.3012484135
181	0.3010243612
182	0.3006451508
183	0.3003948078
184	0.3000207644
185	0.2995187239
186	0.2992496061
187	0.2988992511
188	0.2986581608
189	0.2982034972
190	0.2979149774
191	0.2976911336
192	0.2973075783
193	0.2971429005
194	0.2969051749
195	0.2965568429
196	0.2961229253
197	0.2959089801
198	0.295561961
199	0.2952014368
200	0.2949226256
201	0.2946809334
202	0.2943778042
203	0.2941128895
204	0.2936502653
205	0.2934664828
206	0.2932039586
207	0.2930135698
208	0.2928663646
209	0.2923984542
210	0.2921660422
211	0.2917928173
212	0.2911847193
213	0.2909402182
214	0.2905050515
215	0.2903371084
216	0.2900488116
217	0.2896550256
218	0.2893197816
219	0.2890928687
220	0.2889458731
221	0.2884878798
222	0.2882576999
223	0.2879255083
224	0.2874593448
225	0.2872191892
226	0.2868390669
227	0.2865961134
228	0.2863125339
229	0.2860631933
230	0.2857183919
231	0.285450779
232	0.285155748
233	0.2849164727
234	0.28463149
235	0.2843536864
236	0.284070672
237	0.2839524143
238	0.2836839766
239	0.283476292
240	0.2831649668
241	0.2828683616
242	0.2826773813
243	0.2824339903
244	0.2822299803
245	0.2817356193
246	0.2814481653
247	0.2812533079
248	0.2810467636
249	0.280795586
250	0.2802234507
251	0.2799362234
252	0.2794566436
253	0.2789290309
254	0.2786176763
255	0.2784239813
256	0.2780390976
257	0.2777456784
258	0.2775191629
259	0.2773423137
260	0.2768411572
261	0.2765744763
262	0.2763555663
263	0.2761661498
264	0.2759303867
265	0.2757233503
266	0.2755521864
267	0.2753260096
268	0.2751028189
269	0.2749317206
270	0.2746831401
271	0.2743058731
272	0.2740283183
273	0.2737052177
274	0.2734674184
275	0.2733162083
276	0.2731315462
277	0.2727867457
278	0.2723837217
279	0.2720960445
280	0.2718561753
281	0.2716367435
282	0.2714543725
283	0.2712967595
284	0.2711351324
285	0.2709330384
286	0.2706493141
287	0.2703960182
288	0.2699834487
289	0.2697719216
290	0.2694097484
291	0.2690752131
292	0.2689068548
293	0.2686056934
294	0.2683044719
295	0.2679768057
296	0.2676778788
297	0.2675353796
298	0.2673491205
299	0.2671598996
300	0.2668514292
301	0.2665421589
302	0.2663716004
303	0.2661673258
304	0.2660058106
305	0.2658734515
306	0.2657250873
307	0.2655284898
308	0.2653535113
309	0.2651114644
310	0.26495041
311	0.2646672493
312	0.2644718774
313	0.2642887007
314	0.2640218721
315	0.2637817758
316	0.2635912952
317	0.2632590831
318	0.2630778539
319	0.2628499397
320	0.2626456944
321	0.2624441515
322	0.2621753727
323	0.2620712245
324	0.2617946807
325	0.2616067998
326	0.261450901
327	0.2612652371
328	0.2609698721
329	0.26087614
330	0.2607990591
331	0.2606067025
332	0.2603431622
333	0.2602055697
334	0.2599045251
335	0.2596888301
336	0.2595790543
337	0.2593696055
338	0.2592149911
339	0.2591171524
340	0.2589530783
341	0.2587907935
342	0.2586291561
343	0.2583834167
344	0.2581562603
345	0.2578571071
346	0.2576306947
347	0.257545687
348	0.2572750946
349	0.2571239646
350	0.2566946198
351	0.256404467
352	0.2561854272
353	0.2558260687
354	0.2557224955
355	0.2556042863
356	0.2552317844
357	0.2550259397
358	0.2548271649
359	0.2547070828
360	0.2544584546
361	0.2543516408
362	0.2539712271
363	0.2536475362
364	0.2534880705
365	0.2532138337
366	0.2530717714
367	0.2528653762
368	0.2525596569
369	0.2523702078
370	0.2521349913
371	0.251972494
372	0.251782142
373	0.2516179832
374	0.2514705988
375	0.2513010918
376	0.2511232898
377	0.2509796782
378	0.2508412106
379	0.2506334936
380	0.2504732356
381	0.2502405242
382	0.2500669973
383	0.2499722237
384	0.2497014139
385	0.2495778229
386	0.2493743607
387	0.2491428794
388	0.2489151386
389	0.2486525431
390	0.2482826266
391	0.2481253327
392	0.247958321
393	0.247777414
394	0.2476149234
395	0.2474492311
396	0.2473109856
