iter	Passed	Remaining
0	4	2552
1	9	2804
2	14	2813
3	18	2828
4	23	2836
5	31	3161
6	36	3113
7	41	3059
8	46	3070
9	51	3045
10	56	3042
11	61	3023
12	64	2917
13	69	2896
14	74	2907
15	79	2916
16	84	2903
17	89	2904
18	94	2893
19	99	2890
20	104	2876
21	109	2872
22	114	2866
23	119	2867
24	124	2860
25	129	2850
26	133	2841
27	138	2838
28	144	2838
29	149	2831
30	153	2823
31	158	2816
32	163	2808
33	168	2801
34	173	2798
35	178	2792
36	183	2787
37	187	2779
38	192	2772
39	197	2769
40	202	2765
41	208	2770
42	214	2774
43	219	2769
44	224	2765
45	228	2757
46	234	2754
47	239	2750
48	244	2751
49	250	2753
50	256	2756
51	261	2755
52	266	2753
53	272	2750
54	277	2749
55	282	2746
56	287	2742
57	293	2740
58	298	2734
59	303	2729
60	308	2725
61	313	2719
62	318	2713
63	323	2710
64	328	2705
65	333	2700
66	338	2694
67	343	2687
68	348	2680
69	353	2673
70	357	2666
71	362	2660
72	367	2655
73	373	2651
74	377	2644
75	382	2640
76	387	2634
77	393	2635
78	398	2630
79	403	2625
80	408	2617
81	413	2610
82	417	2603
83	422	2596
84	427	2589
85	432	2584
86	437	2580
87	442	2575
88	447	2571
89	453	2567
90	458	2562
91	463	2558
92	468	2555
93	473	2550
94	478	2544
95	483	2538
96	488	2531
97	492	2525
98	497	2519
99	502	2514
100	508	2510
101	513	2505
102	518	2499
103	522	2493
104	527	2487
105	532	2481
106	537	2476
107	542	2472
108	547	2467
109	552	2462
110	557	2457
111	562	2451
112	568	2448
113	573	2444
114	578	2438
115	583	2432
116	588	2427
117	592	2420
118	597	2416
119	602	2411
120	608	2406
121	612	2400
122	617	2395
123	622	2389
124	627	2384
125	632	2380
126	637	2375
127	642	2369
128	647	2363
129	651	2356
130	656	2350
131	661	2346
132	667	2343
133	672	2338
134	677	2334
135	683	2330
136	688	2325
137	693	2321
138	699	2319
139	704	2314
140	708	2307
141	713	2302
142	718	2296
143	723	2291
144	728	2286
145	733	2281
146	738	2276
147	744	2273
148	749	2267
149	754	2262
150	759	2257
151	764	2253
152	769	2247
153	774	2242
154	779	2237
155	784	2231
156	788	2226
157	794	2221
158	798	2215
159	803	2210
160	808	2205
161	814	2201
162	819	2195
163	824	2190
164	828	2184
165	833	2179
166	838	2173
167	843	2168
168	847	2162
169	853	2157
170	858	2153
171	863	2149
172	868	2143
173	873	2139
174	878	2133
175	883	2127
176	888	2122
177	893	2117
178	898	2112
179	903	2108
180	908	2102
181	913	2097
182	917	2091
183	922	2086
184	927	2080
185	932	2076
186	937	2070
187	942	2065
188	946	2059
189	951	2053
190	956	2048
191	961	2044
192	967	2039
193	972	2034
194	976	2028
195	981	2023
196	986	2017
197	991	2013
198	996	2007
199	1001	2002
200	1006	1997
201	1011	1992
202	1016	1988
203	1021	1983
204	1026	1978
205	1032	1974
206	1052	1999
207	1057	1993
208	1062	1988
209	1068	1984
210	1073	1979
211	1078	1974
212	1084	1970
213	1089	1965
214	1094	1960
215	1099	1954
216	1104	1948
217	1109	1944
218	1115	1940
219	1120	1935
220	1126	1931
221	1131	1927
222	1137	1922
223	1142	1917
224	1147	1912
225	1152	1907
226	1157	1902
227	1163	1897
228	1168	1892
229	1172	1886
230	1177	1881
