brand_group,count,avg_price_eur,median_price_eur,avg_is_premium_brand
Apple,77,565.3376623376623,450.0,1.0
OnePlus,16,538.8125,524.5,1.0
Google,11,514.2290909090909,524.52,1.0
Oppo,118,326.2677254237288,280.0,1.0
vivo,124,315.2275903225806,280.0,1.0
Xiaomi,143,269.6514895104895,200.0,1.0
Asus,156,266.61352564102566,245.0,0.0
Sony,122,263.76311475409835,230.0,1.0
Huawei,297,260.35495117845113,190.0,1.0
Honor,88,240.74557045454546,200.0,1.0
ZTE,179,217.3868715083799,190.0,0.0
Realme,27,208.67378148148148,183.05,0.0
HTC,241,208.13278008298755,200.0,0.0
Samsung,992,189.29356804435486,130.0,1.0
Lenovo,192,185.775228125,170.0,0.0
Other,1902,167.7862695583596,130.0,0.0
Motorola,339,158.15178230088495,140.0,0.0
LG,499,146.09230741482966,110.0,0.0
Nokia,393,134.98592875318067,110.0,0.0
alcatel,179,131.36718994413408,120.0,0.0
Sony Ericsson,156,110.64102564102564,110.0,0.0
