model,feature,importance
LightGBM_gain (price_eur),num__resolution_total_px,403166470.7060547
LightGBM_gain (price_eur),num__storage_gb,288874661.5756836
LightGBM_gain (price_eur),num__resolution_width_px,213276753.7121582
LightGBM_gain (price_eur),num__body_weight_g,113801620.92651367
LightGBM_gain (price_eur),num__screen_to_body_pct,97330140.3840332
LightGBM_gain (price_eur),num__battery_per_weight,97202117.81835938
LightGBM_gain (price_eur),num__body_width_mm,73288930.05297852
LightGBM_gain (price_eur),num__body_thickness_mm,67918001.31665039
LightGBM_gain (price_eur),num__sensor_count,65538363.576171875
LightGBM_gain (price_eur),num__ppi_reported,64771485.05566406
LightGBM_gain (price_eur),num__launch_year,52561809.43432617
LightGBM_gain (price_eur),num__launch_month,42947807.70703125
LightGBM_gain (price_eur),num__has_nfc,36413365.31298828
LightGBM_gain (price_eur),num__has_barometer,33512737.090820312
LightGBM_gain (price_eur),num__main_camera_max_mp,32702320.896972656
LightGBM_gain (price_eur),num__display_size_in,31214790.311523438
LightGBM_gain (price_eur),num__body_height_mm,30890875.875732422
LightGBM_gain (price_eur),num__has_ois,30320180.692382812
LightGBM_gain (price_eur),num__ppi_calculated,30019620.368164062
LightGBM_gain (price_eur),num__battery_capacity_mah,29908223.334960938
LightGBM_gain (price_eur),num__battery_per_inch,29494567.11767578
LightGBM_gain (price_eur),num__ram_gb,28819221.82836914
LightGBM_gain (price_eur),cat__display_panel_IPS LCD,28209916.256835938
LightGBM_gain (price_eur),cat__brand_group_Apple,28006503.93017578
LightGBM_gain (price_eur),cat__brand_group_Other,25035090.477294922
LightGBM_gain (price_eur),num__aspect_ratio,21572010.284179688
LightGBM_gain (price_eur),num__has_gyro,21507150.750976562
LightGBM_gain (price_eur),num__has_radio,21162505.575439453
LightGBM_gain (price_eur),cat__display_panel_Other,19577198.931152344
LightGBM_gain (price_eur),num__os_version,19005456.14453125
LightGBM_gain (price_eur),num__resolution_height_px,18757582.842773438
LightGBM_gain (price_eur),cat__display_panel_OLED,18472578.760742188
LightGBM_gain (price_eur),cat__os_family_Unknown,18124164.697265625
LightGBM_gain (price_eur),num__selfie_camera_max_mp,17574803.715576172
LightGBM_gain (price_eur),num__network_generation,15714636.971435547
LightGBM_gain (price_eur),num__has_compass,12473561.559570312
LightGBM_gain (price_eur),num__fast_charging_w,11020875.264892578
LightGBM_gain (price_eur),num__has_card_slot,9733442.684082031
LightGBM_gain (price_eur),cat__display_panel_AMOLED,9695509.444335938
LightGBM_gain (price_eur),cat__display_panel_LCD/TFT,8373126.275878906
LightGBM_gain (price_eur),num__is_removable_battery,8335270.516113281
LightGBM_gain (price_eur),num__phone_age,7323582.5185546875
LightGBM_gain (price_eur),cat__brand_group_Xiaomi,6171290.895263672
LightGBM_gain (price_eur),num__main_camera_count,5023621.0625
LightGBM_gain (price_eur),cat__os_family_Windows,4878088.388183594
LightGBM_gain (price_eur),cat__brand_group_Asus,4480360.5634765625
LightGBM_gain (price_eur),num__has_gps,4014369.5380859375
LightGBM_gain (price_eur),num__is_premium_brand,3994363.48046875
LightGBM_gain (price_eur),cat__launch_status_group_Available,3595010.6020507812
LightGBM_gain (price_eur),cat__launch_status_group_Coming soon,3571959.7509765625
LightGBM_gain (price_eur),num__has_touchscreen,3142749.02734375
LightGBM_gain (price_eur),num__has_usb,2593760.904296875
LightGBM_gain (price_eur),cat__brand_group_vivo,2585563.2275390625
LightGBM_gain (price_eur),cat__launch_status_group_Discontinued,2583876.8149414062
LightGBM_gain (price_eur),cat__brand_group_Samsung,2573570.1420898438
LightGBM_gain (price_eur),num__has_telephoto,2291833.798828125
LightGBM_gain (price_eur),num__ppi,2233557.3520507812
LightGBM_gain (price_eur),num__has_3_5mm_jack,1945005.115234375
LightGBM_gain (price_eur),cat__brand_group_Oppo,1699958.6538085938
LightGBM_gain (price_eur),cat__battery_type_Li-Po,1654824.6538085938
LightGBM_gain (price_eur),cat__os_family_iOS,1447118.359375
